,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
126,The Cock and Anchor,Joseph Sheridan Le Fanu,City and town life -- Fiction,Dublin (Ireland) -- Fiction,NA,46,153138,English,2012-07-02
127,"Joe Miller's Jests, or The Wits Vade-Mecum",John Mottley and Joe Miller,English wit and humor,NA,NA,12,17,English,2012-07-02
128,"Blackwood's Edinburgh Magazine, Volume 64, No.394, August, 1848",Various,Scotland -- Periodicals,England -- Periodicals,NA,10,95520,English,2012-07-03
129,Missy: A Novel,Miriam Coles Harris,Fiction,NA,NA,8,117821,English,2012-07-03
130,A Day with John Milton,May Byron,"Milton, John, 1608-1674",NA,NA,20,5925,English,2012-07-03
131,Early Travels in Palestine,Thomas Wright,Palestine -- Description and travel -- Early works to 1800,Middle East -- Description and travel -- Early works to 1800,NA,45,240327,English,2012-07-03
132,A Report on Washington Territory,William Henry Ruffner,Washington (State),NA,NA,7,48650,English,2012-07-03
133,"Sister Anne (Novels of Paul de Kock, Volume X)",Paul de Kock,French fiction -- Translations into English,NA,NA,10,141538,English,2012-07-03
134,A Moral Alphabet,Hilaire Belloc,"Children's poetry, English","Humorous poetry, English",Alphabet rhymes,36,17,English,2012-07-03
135,"The Makers of Modern Rome, in Four Books",Mrs. Oliphant,Rome (Italy) -- History -- 476-1420,NA,NA,30,195850,English,2012-07-03
136,The Mercy of the Lord,Flora Annie Webster Steel,India -- Fiction,British -- India -- Fiction,"Short stories, English",19,89118,English,2012-07-03
137,"The Red, White, and Green",Herbert Hayens,Austria -- History -- 1789-1900 -- Juvenile fiction,Hungary -- History -- 19th century -- Juvenile fiction,Europe -- History -- 1789-1900 -- Juvenile fiction,4,95536,English,2012-07-03
138,"Der Hirtenknabe Nikolas; oder, Der deutsche Kinderkreuzzug im Jahre 1212",Schefer,"Children's Crusade, 1212",NA,NA,5,17,German,2012-07-04
139,Σύντομος αφήγησις του βίου του Ιωάννου Καποδιστρίου,Laurentios S. Vrokines,"Kapodistrias, Iōannēs Antōniou, 1776-1831",NA,NA,5,10153,Greek,2012-07-04
140,On the Face of the Waters: A Tale of the Mutiny,Flora Annie Webster Steel,Historical fiction,"India -- History -- Sepoy Rebellion, 1857-1858 -- Fiction","Delhi (India) -- History -- Siege, 1857 -- Fiction",25,174760,English,2012-07-04
141,Red Rowans,Flora Annie Webster Steel,Scotland -- Fiction,NA,NA,10,123888,English,2012-07-04
142,Miss Stuart's Legacy,Flora Annie Webster Steel,India -- Fiction,Inheritance and succession -- Fiction,British -- India -- Fiction,17,106149,English,2012-07-04
143,"France and England in North America, Part III: La Salle, Discovery of The Gre","ance and England in North America, Part III: La Salle, Discovery of The Great",New France -- Discovery and exploration,"La Salle, Robert Cavelier, sieur de, 1643-1687",Mississippi River Valley -- Discovery and exploration,50,148259,English,2012-07-04
144,"A History of Art in Ancient Egypt, Vol. 1 (of 2)",Chipiez and Perrot,Egypt -- Antiquities,Art -- Egypt -- History,NA,113,17,English,2012-07-05
145,The Foolish Almanak for Anuthur Year,Various,American wit and humor,"Satire, American","Almanacs, American",28,12498,English,2012-07-06
146,The City of Masks,George Barr McCutcheon,New York (N.Y.) -- Fiction,Aristocracy (Social class) -- Fiction,Europeans -- United States -- Fiction,7,79314,English,2012-07-06
147,"Harper's New Monthly Magazine, No. VI, November 1850, Vol. I",Various,Culture -- Periodicals,Civilization -- Periodicals,American literature -- Periodicals,15,141687,English,2012-07-06
148,"The Footlights, Fore and Aft",Channing Pollock,Theater,NA,NA,70,57131,English,2012-07-06
149,"A History of Art in Ancient Egypt, Vol. 2 (of 2)",Chipiez and Perrot,Egypt -- Antiquities,Art -- Egypt -- History,NA,37,124688,English,2012-07-07
150,Η Ευρώπη κατά τον 19ον αιώνα,Paulos Karolides,Europe -- History -- 1789-1900,"History, Modern -- 19th century",NA,11,16456,Greek,2012-07-07
151,Constance Sherwood: An Autobiography of the Sixteenth Century,Fullerton,"Great Britain -- History -- Elizabeth, 1558-1603 -- Fiction",NA,NA,11,188483,English,2012-07-07
152,"Phil-o-rum's Canoe, and Madeleine Vercheres: Two Poems",William Henry Drummond,Canadian poetry -- 19th century,"Verchères, Madeleine de, 1678-1747 -- Poetry",NA,21,1886,English,2012-07-07
153,The First True Gentleman: A Study of the Human Nature of Our Lord,Anonymous,Christian life,Jesus Christ,Jesus Christ -- Character,12,17,English,2012-07-07
154,Sing a Song of Sixpence,Mary Holdsworth,Children's stories,Girls -- Juvenile fiction,Missing children -- Juvenile fiction,11,17,English,2012-07-07
155,Akbar: An Eastern Romance,P. A. S. van Limburg Brouwer,"Akbar, Emperor of Hindustan, 1542-1605 -- Fiction","Akbar, Emperor of Hindustan, 1542-1605",Dutch fiction -- Translations into English,12,97999,English,2012-07-07
156,"Encyclopaedia Britannica, 11th Edition, ""Ichthyology"" to ""Independence""",Various,Encyclopedias and dictionaries,NA,NA,54,17,English,2012-07-07
157,Breeding minks in Louisiana for their fur: A profitable industry,Elfer,American mink -- Louisiana,NA,NA,6,3083,English,2012-07-07
158,"Manners: A Novel, Vol 1",Madame Panache,England -- Social life and customs -- Fiction,NA,NA,10,45899,English,2012-07-07
159,"Manners: A Novel, Vol 2",Madame Panache,England -- Social life and customs -- Fiction,NA,NA,12,17,English,2012-07-07
160,"Manners: A Novel, Vol 3",Madame Panache,England -- Social life and customs -- Fiction,NA,NA,4,59326,English,2012-07-07
161,A Book About Doctors,John Cordy Jeaffreson,Medicine -- Anecdotes,Physicians -- Great Britain,NA,33,139683,English,2012-07-08
162,The Humour and Pathos of Anglo-Indian Life,J. E. Mayer,India -- Social life and customs,British -- India,NA,18,90892,English,2012-07-08
163,"Árminius Vambéry, his life and adventures",Ármin Vámbéry,Iran -- Description and travel,"Asia, Central -- Description and travel","Vámbéry, Ármin, 1832-1913",42,98969,English,2012-07-08
164,History of the Opera from its Origin in Italy to the present Time,Edwards,Opera,NA,NA,24,160201,English,2012-07-08
165,Die Versuchung: Ein Gespräch des Dichters mit dem Erzengel und Luzifer,Werfel,German drama -- 20th century,NA,NA,16,4360,German,2012-07-08
166,"Notes and Queries, Index of Volume 4, July-December, 1851",Various,Questions and answers -- Periodicals,NA,NA,31,17689,English,2012-07-08
167,The Archaeology of the Yakima Valley,Harlan Ingersoll Smith,Yakima River Valley (Wash.) -- Antiquities,NA,NA,21,17,English,2012-07-08
168,The Old Adam: A Story of Adventure,Arnold Bennett,England -- Fiction,Adventure stories,Man-woman relationships -- Fiction,17,17,English,2012-07-08
169,De Drie Musketiers dl. I en II,Alexandre Dumas,Historical fiction,"France -- History -- Louis XIII, 1610-1643 -- Fiction",Adventure and adventurers -- Fiction,30,222454,Dutch,2012-07-08
170,The Romance of Aircraft,Laurence Yard Smith,"Aeronautics, Military",Aeronautics,"World War, 1914-1918 -- Aerial operations",15,65733,English,2012-07-08
171,"Notes and Queries, Vol. V, Number 114, January 3, 1852",Various,Questions and answers -- Periodicals,NA,NA,1,17,English,2012-07-08
172,"Le Rhin, Tome III",Victor Hugo,France -- Description and travel,Rhine River Valley -- Description and travel,"Hugo, Victor, 1802-1885 -- Travel -- Rhine River Valley",11,55984,French,2012-07-08
173,The Literature of the Old Testament,George Foot Moore,Bible. Old Testament -- Introductions,NA,NA,14,64160,English,2012-07-08
174,Kuningas Henrik Kuudes III,William Shakespeare,"Henry VI, King of England, 1421-1471 -- Drama",Great Britain -- Kings and rulers -- Drama,"Great Britain -- History -- Henry VI, 1422-1461 -- Drama",2,17942,Finnish,2012-07-09
175,Physics,"Thomas D. Cope, Charles H. Smith, Willis E. Tower, and Charles M. Turton",Physics,NA,NA,152,126550,English,2012-07-09
176,Pippin; A Wandering Flame,Laura Elizabeth Howe Richards,Orphans -- Fiction,Love stories,Bildungsromans,1,85983,English,2012-07-09
177,The Carter Girls,Nell Speed,Family -- Juvenile fiction,Camping -- Juvenile fiction,Mountains -- Juvenile fiction,10,17,English,2012-07-09
178,The Carter Girls' Mysterious Neighbors,Nell Speed,Family -- Juvenile fiction,Sisters -- Juvenile fiction,First loves -- Juvenile fiction,13,53854,English,2012-07-10
179,The Carter Girls' Week-End Camp,Nell Speed,Family -- Juvenile fiction,Mountains -- Juvenile fiction,Sisters -- Juvenile fiction,8,0,English,2012-07-10
180,A Woman's Love,Amelia Opie,Fiction,NA,NA,4,32393,English,2012-07-09
181,To Leeward,F. Marion Crawford,Rome (Italy) -- Social life and customs -- 19th century -- Fiction,NA,NA,6,97926,English,2012-07-09
182,Oriente,Vicente Blasco Ibáñez,Europe -- Description and travel,Istanbul (Turkey) -- Description and travel,"Blasco Ibáñez, Vicente, 1867-1928 -- Travel -- Europe",11,17,Spanish,2012-07-09
183,A Garden with House Attached,Sarah Warner Brooks,Gardening,NA,NA,25,26679,English,2012-07-09
184,"The Natural Cure of Consumption, Constipation, Bright's Disease, Neuralgi","e Natural Cure of Consumption, Constipation, Bright's Disease, Neuralgia,",Hygiene -- Popular works,"Medicine, Popular",NA,41,86601,English,2012-07-09
185,Das unendliche Gespräch: Eine nächtliche Szene,Walter Hasenclever,German poetry -- 20th century,NA,NA,10,0,German,2012-07-10
186,"Baraboo, Dells, and Devil's Lake Region",Harry Ellsworth Cole,Sauk County (Wis.),Baraboo (Wis.),Dells of the Wisconsin (Wis.),16,17,English,2012-07-10
187,Modern Geography,Marion I. Newbigin,Geography,NA,NA,31,17,English,2012-07-10
188,Love in the Suds: a Town Eclogue.,W. Kenrick,"Verse satire, English","Garrick, David, 1717-1779 -- Poetry",NA,5,8354,English,2012-07-10
189,Histoire de France 1689-1715 (Volume 16/19),Jules Michelet,France -- History,NA,NA,16,96583,French,2012-07-10
190,Science and Practice in Farm Cultivation,James Buckman,Agriculture,NA,NA,15,92260,English,2012-07-10
