,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
0,Extinct Birds,Baron Lionel Walter Rothschild Rothschild,Birds,Extinct birds,NA,19,61235,English,2012-06-15
1,An English Girl's First Impressions of Burmah,Beth Ellis,Burma -- Description and travel,"Ellis, Beth, 1874-1913",NA,12,43167,English,2012-06-16
2,The Die Varieties of the Nesbitt Series of United States Envelopes,Berthold,Postage stamps -- United States,NA,NA,34,28384,English,2012-06-15
3,Australian Heroes and Adventurers,William T. Pyke,Gold mines and mining -- Australia,Australia -- History -- 1788-1900,"Burke and Wills Expedition, (1860-1861)",12,32141,English,2012-06-15
4,"The Legend of Ulenspiegel, Volume 2 (of 2)",Charles de Coster,Adventure stories,Eulenspiegel (Satire) -- Legends,NA,15,0,English,2012-06-15
5,North American Recent Soft-Shelled Turtles (Family  Trionychidae),Robert G. Webb,Soft-shelled turtles,NA,NA,20,17,English,2012-06-16
6,"Margaret Capel: A Novel, vol. 1 of 3",Ellen Wallace,English fiction -- 19th century,NA,NA,27,49607,English,2012-06-16
7,"Säkeniä, Kokous runoelmia",August Ahlqvist,Finnish poetry,NA,NA,4,26951,Finnish,2012-06-16
8,The Autobiography of a Cornish Smuggler,Harry Carter,Smuggling -- Great Britain -- History,"Carter, Harry, 1749-1829",NA,21,33794,English,2012-06-16
9,"Encyclopaedia Britannica, 11th Edition, ""Indole"" to ""Insanity""",Various,Encyclopedias and dictionaries,NA,NA,53,17,English,2012-06-16
10,Summer Cruising in the South Seas,Charles Warren Stoddard,Oceania -- Description and travel,NA,NA,24,86747,English,2012-06-16
11,"L'Illustration, No. 0044, 30 Décembre 1843",Various,Illustrated periodicals -- France,NA,NA,2,17,French,2012-06-16
12,"Ein Buch, das gern ein Volksbuch werden möchte",Marie von Ebner-Eschenbach,German fiction -- 20th century,NA,NA,24,54621,German,2012-06-16
13,The Master of Warlock: A Virginia War Story,George Cary Eggleston,"Virginia -- History -- Civil War, 1861-1865 -- Fiction",NA,NA,23,17,English,2012-06-17
14,John Burnet of Barns: A Romance,John Buchan,Historical fiction,Great Britain -- History -- 17th century -- Fiction,NA,27,17,English,2012-06-17
15,A Boy Scout's Courage,Edward Howard Griggs,Spy stories,Boy Scouts -- Juvenile fiction,Courage -- Juvenile fiction,23,17,English,2012-06-17
16,The Last Rose of Summer,Rupert Hughes,Love stories,Single women -- Fiction,Older women -- Fiction,16,12353,English,2012-06-17
17,The Stampeder,Samuel Alexander White,Gold mines and mining -- Yukon -- Fiction,NA,NA,17,50881,English,2012-06-17
18,"Bass, Pike, Perch, and Others",James A. Henshall,Fishing,Fishes,NA,24,88762,English,2012-06-17
19,The Barren Ground of Northern Canada,Warburton Pike,Mackenzie (N.W.T.) -- Description and travel,"Northwest, Canadian -- Description and travel",NA,21,89696,English,2012-06-17
20,The Thames,G. E. Mitton,Thames River (England),NA,NA,10,11853,English,2012-06-17
21,"The History of Chivalry; Or, Knighthood and Its Times, Volume 1 (of 2)",Mills,Chivalry,NA,NA,36,104970,English,2012-06-17
22,"The History of Chivalry; Or, Knighthood and Its Times, Volume 2 (of 2)",Mills,Chivalry,NA,NA,19,89824,English,2012-06-17
23,Monograms & Ciphers,Carlton Studio and A. A. Turbayne,Monograms,NA,NA,531,4143,English,2012-06-18
24,Rebecca's Promise,Frances R. Sterrett,Young women -- Fiction,Love stories,Mate selection -- Fiction,18,17,English,2012-06-18
25,"Recherches nouvelles sur l'histoire ancienne, tome I",C.-F. Volney,"History, Ancient",Bible -- History of Biblical events,Middle East -- History -- To 622,9,109016,French,2012-07-01
26,"Blackwood's Edinburgh Magazine, Volume 64, No. 398, December 1848",Various,Scotland -- Periodicals,England -- Periodicals,NA,3,17,English,2012-07-01
27,"The Scarecrow, and Other Stories",G. Ranger Wormser,Supernatural -- Fiction,"Short stories, American",Ghost stories,20,46470,English,2012-06-18
28,Royal English Bookbindings,Cyril Davenport,Bookbinding -- England -- History,NA,NA,24,25008,English,2012-06-18
29,"The Gunpowder Plot and Lord Mounteagle's Letter, Being a Proof, with Mor","e Gunpowder Plot and Lord Mounteagle's Letter, Being a Proof, with Moral","Monteagle, William Parker, Baron, 1574 or 1575-1622","Gunpowder Plot, 1605",NA,84,123034,English,2012-06-18
30,The Theory of Heat Radiation,Max Planck,Electric waves,Heat -- Radiation and absorption,Gases,170,98925,English,2012-06-18
31,"Nooks and Corners of English Life, Past and Present",John Timbs,England -- Social life and customs,NA,NA,36,17,English,2012-06-20
32,Mexico,Susan Hale,Mexico -- History,NA,NA,18,17,English,2012-06-18
33,The Missing Formula,Mildred A. Wirt,Adventure stories,Vacations -- Juvenile fiction,Canada -- Juvenile fiction,39,17,English,2012-06-18
34,The Princess Dehra,John Reed Scott,Inheritance and succession -- Fiction,Adventure stories,Princesses -- Fiction,7,78857,English,2012-06-18
35,Book of Monsters,David Fairchild and Marian Fairchild,Spiders,Insects,Myriapoda,60,34970,English,2012-06-18
36,Tramping with Tramps: Studies and Sketches of Vagabond Life,Josiah Flynt,Tramps,NA,NA,56,93973,English,2012-06-18
37,Fort Duquesne and Fort Pitt; Early Names of Pittsburgh Stree,rt Duquesne and Fort Pitt; Early Names of Pittsburgh Streets,Pittsburgh (Pa.) -- History,Fort Duquesne (Pa.) -- History,NA,13,13083,English,2012-06-18
38,The Lone Ranger Rides,Fran Striker,Western stories,Lone Ranger (Fictitious character) -- Juvenile fiction,Tonto (Fictitious character) -- Juvenile fiction,49,62213,English,2012-06-18
39,A magyar nép művészete (1. kötet),Dezső Malonyay,Folk art -- Hungary,NA,NA,38,59346,Hungarian,2012-06-19
40,"Flowers, Shown to the Children",C. E. Smith,Plants -- Juvenile literature,NA,NA,23,35803,English,2012-06-19
41,The Secret of the Sundial,Mildred A. Wirt,Adventure stories,Mystery and detective stories,Inheritance and succession -- Juvenile fiction,19,22174,English,2012-06-19
42,The Deserted Yacht,Mildred A. Wirt,Yachts -- Juvenile fiction,Kidnapping -- Juvenile fiction,Mystery and detective stories,10,22221,English,2012-06-19
43,The Problem of Foreign Policy,Gilbert Murray,Eastern question,Great Britain -- Foreign relations,Europe -- Politics and government -- 1918-1945,4,17,English,2012-06-19
44,Journal and Letters of Philip Vickers Fithian: A Plantation Tutor of the O,urnal and Letters of Philip Vickers Fithian: A Plantation Tutor of the Old,Virginia -- Social life and customs -- To 1775,Carter family,NA,44,103361,English,2012-06-20
45,Voices in the Night,Flora Annie Webster Steel,India -- Fiction,British -- India -- Fiction,NA,5,136944,English,2012-06-20
46,The Dispatch Carrier and Memoirs of Andersonville Prison,William N. Tyler,Andersonville Prison,"United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons","United States -- History -- Civil War, 1861-1865 -- Personal narratives",9,34137,English,2012-06-20
47,"Punch, or the London Charivari, Vol. 107, October 20, 1894",Various,English wit and humor -- Periodicals,NA,NA,20,17,English,2012-06-20
48,"The Newcastle Song Book; or, Tyne-Side Songster",Various,"Songs, English -- England -- Newcastle upon Tyne",English language -- Dialects -- England -- Newcastle upon Tyne,NA,76,17,English,2012-06-20
49,"Histoire Anecdotique de l'Ancien Théâtre en France, Tome Second",Albert Du Casse,Theater -- France -- History,NA,NA,8,92189,French,2012-06-20
50,"Life Movements in Plants, Volume II",Jagadis Chandra Bose,Plants -- Irritability and movements,Growth (Plants),NA,11,81236,English,2012-06-20
51,Found at Last: the Veritable Garden of Eden,D. O. Van Slyke,Eden,Trempealeau County (Wis.) -- Description and travel,NA,39,9957,English,2012-06-20
52,Les guêpes ­— séries 1 & 2,Alphonse Karr,French essays,NA,NA,26,8513,French,2012-06-21
53,"Margaret Capel: A Novel, vol. 2 of 3",Ellen Wallace,English fiction -- 19th century,NA,NA,8,44771,English,2012-06-22
54,"Margaret Capel: A Novel, vol. 3 of 3",Ellen Wallace,English fiction -- 19th century,NA,NA,4,46054,English,2012-06-22
55,The Natural History of Cage Birds,Johann Matthäus Bechstein,Cage birds,NA,NA,35,17,English,2012-06-22
56,Yule Logs: Longmans' Christmas Annual for 1898,G. A. Henty,Short stories,Children's stories,Adventure stories,18,115486,English,2012-06-22
57,"The Life of Florence Nightingale, vol. 1 of 2",Sir Edward Tyas Cook,"Nightingale, Florence, 1820-1910",NA,NA,93,17,English,2012-07-16
58,"The Life of Florence Nightingale, vol. 2 of 2",Sir Edward Tyas Cook,"Nightingale, Florence, 1820-1910",NA,NA,72,208250,English,2012-07-16
59,Wanderfoot (The Dream Ship),Cynthia Stockley,Man-woman relationships -- Fiction,NA,NA,19,105570,English,2012-06-22
60,The Christian Faith Under Modern Searchlights,William Hallock Johnson,Modernism (Christian theology),NA,NA,11,57807,English,2012-06-22
61,Κύρου Ανάβασις Τόμος 2,Xenophon,Iran -- History -- To 640,"Cyrus, the Younger, approximately 423 B.C.-401 B.C.","Greece -- History -- Expedition of Cyrus, 401 B.C.",33,17,Greek,2012-06-22
62,"Blackwood's Edinburgh Magazine—Volume 62, No. 386, December, 1847",Various,Scotland -- Periodicals,England -- Periodicals,NA,17,89812,English,2012-06-23
63,"Every Girl's Library, Volume 8 of 10",Percy Keese Fitzhugh,Literature -- Collections,NA,NA,5,17,English,2012-06-23
64,Mal Moulée: A Novel,Ella Wheeler Wilcox,Triangles (Interpersonal relations) -- Fiction,Man-woman relationships -- Fiction,NA,7,49507,English,2012-06-23
65,"Punch, or the London Charivari, Vol. 105 December 9, 1893",Various,English wit and humor -- Periodicals,NA,NA,3,17,English,2012-06-23
66,Páginas sevillanas,Manuel Chaves Rey,Seville (Spain) -- History,Seville (Spain) -- Social life and customs,NA,16,65881,Spanish,2012-06-23
67,"The Iron Boys on the Ore Boats; or, Roughing It on the Great Lakes",Mears,Shipping -- Great Lakes (North America) -- Juvenile fiction,Iron industry and trade -- Juvenile fiction,NA,9,17,English,2012-06-23
68,"The Catholic World, Vol. 02, October, 1865 to March, 1866",Various,Catholic Church -- Periodicals,NA,NA,21,560018,English,2012-06-24
69,Argentina,W. A. Hirst,Argentina,NA,NA,46,94494,English,2012-06-24
70,Kuningas Henrik Kuudes I,William Shakespeare,"Henry VI, King of England, 1421-1471 -- Drama",Great Britain -- Kings and rulers -- Drama,"Great Britain -- History -- Henry VI, 1422-1461 -- Drama",4,15882,Finnish,2012-06-26
71,"Blackwood's Edinburgh Magazine, Volume 63, No. 389, March 1848",Various,Scotland -- Periodicals,England -- Periodicals,NA,15,95043,English,2012-06-26
72,Nooks and Corners of Old London,Hemstreet and Hemstreet,London (England) -- Description and travel,NA,NA,28,30958,English,2012-06-27
73,A Lively Bit of the Front: A Tale of the New Zealand Rifles on the Western Fro,Lively Bit of the Front: A Tale of the New Zealand Rifles on the Western Front,"World War, 1914-1918 -- Juvenile fiction","World War, 1914-1918 -- New Zealand -- Juvenile fiction",NA,14,66412,English,2012-06-24
74,A Dictionary of Cebuano Visayan,John U. Wolff,Cebuano language -- Dictionaries -- English,NA,NA,1456,971474,English,2012-06-24
75,The Knight of Malta,Eugène Sue,French fiction -- 19th century,NA,NA,17,17,English,2012-06-24
76,Atrocious Judges : Lives of Judges Infamous as Tools of Tyrants and Instrumen,rocious Judges : Lives of Judges Infamous as Tools of Tyrants and Instruments,Judges -- England -- Biography,Political questions and judicial power -- England -- History,Judicial corruption -- England -- History,40,140789,English,2012-06-24
77,"The Principles of Economics, with Applications to Practical Problems",Fetter,Economics,NA,NA,385,203089,English,2012-06-24
78,My Life,Josiah Flynt,"Flynt, Josiah, 1869-1907",NA,NA,9,99881,English,2012-06-25
79,The Philosophy of Disenchantment,Edgar Saltus,Pessimism,NA,NA,35,63133,English,2012-06-25
80,A Pictorial Booklet on Early Jamestown Commodities and Industries,J. Paul Hudson,"Virginia -- History -- Colonial period, ca. 1600-1775",NA,NA,17,9786,English,2012-06-25
81,Thomas Chalmers,William Garden Blaikie,"Chalmers, Thomas, 1780-1847",NA,NA,22,49868,English,2012-06-23
82,"The Thirty Years' War, 1618-1648",Samuel Rawson Gardiner,"Thirty Years' War, 1618-1648",NA,NA,23,17,English,2012-06-25
83,Mollie's Prince: A Novel,Rosa Nouchette Carey,England -- Social life and customs -- 19th century -- Fiction,Young women -- Fiction,Love stories,16,124159,English,2012-06-25
84,"The Strand Magazine, Vol. 01, No. 03, March 1891",Various,"Short stories, English -- Periodicals",English literature -- Periodicals,NA,12,17,English,2012-06-26
85,Le Bilan du Divorce,Hugues Le Roux,Divorce,NA,NA,8,37057,French,2012-06-26
86,"Molière - Œuvres complètes, Tome 1",Molière,"Molière, 1622-1673",French drama -- 17th century,NA,90,89848,French,2012-06-26
87,With the Doughboy in France: A Few Chapters of an American Effort,Hungerford,"World War, 1914-1918 -- United States",American National Red Cross,NA,23,98213,English,2012-06-26
88,Grimm testvérek összegyüjtött meséi,Jacob Grimm and Wilhelm Grimm,Fairy tales -- Germany -- Translations into Hungarian,NA,NA,29,61961,Hungarian,2012-06-26
89,Reconstruction in Philosophy,John Dewey,Philosophy,NA,NA,70,17,English,2012-06-26
90,"Blackwood's Edinburgh Magazine, Volume 63, No. 391, May, 1848",Various,Scotland -- Periodicals,England -- Periodicals,NA,11,91721,English,2012-06-26
91,"The Solution of the Pyramid Problem; or, Pyramid Discoveries",Robert Ballard,Pyramids,NA,NA,27,21679,English,2012-06-26
92,Guernsey Pictorial Directory and Stranger's Guide,of Guernsey Thomas Bellamy,Guernsey (Channel Islands) -- Guidebooks,NA,NA,15,30912,English,2012-06-26
93,Memoria sobre a cultura da Urumbeba e sobre criação da Cochonilha,Berthollet et al.,Cactus,Nopalea cochinellifera,NA,10,17,Portuguese,2012-06-26
94,Renlighet och frisk luft,Hjalmar Öhrvall,Hygiene,Health,NA,0,5588,Swedish,2012-06-27
95,Des jésuites,Jules Michelet and Edgar Quinet,Jesuits,NA,NA,14,58442,French,2012-06-27
96,"Encyclopaedia Britannica, 11th Edition, ""Independence, Declaration of"" to ""Ind","cyclopaedia Britannica, 11th Edition, ""Independence, Declaration of"" to ""Indo-",Encyclopedias and dictionaries,NA,NA,50,192554,English,2012-06-27
97,The World as Will and Idea (Vol. 2 of 3),Arthur Schopenhauer,Philosophy,"Knowledge, Theory of",Will,269,168655,English,2012-06-27
98,Τα ανέκδοτα του Βασιλέως Γεωργίου Α,NA,"George I, King of the Hellenes, 1845-1913",NA,NA,15,17,Greek,2012-06-27
99,"Blackwood's Edinburgh Magazine, Volume 63, No. 392, June, 1848",Various,Scotland -- Periodicals,England -- Periodicals,NA,8,97797,English,2012-06-28
100,"Life Histories of North American Wood Warblers, Part 1 (of 2)",Bent,Birds -- North America,Passeriformes,Wood warblers,16,182998,English,2012-06-28
101,"Popular Technology; or, Professions and Trades. Vol. 2 (of 2)",Edward Hazen,Industrial arts,Occupations,NA,53,17,English,2012-06-28
102,The Passion for Life,Joseph Hocking,Love stories,Spy stories,Cornwall (England : County) -- Fiction,14,111303,English,2012-06-28
103,Denry the Audacious,Arnold Bennett,City and town life -- Fiction,Adventure stories,Staffordshire (England) -- Fiction,22,74879,English,2012-06-28
104,Tobias o' the Light: A Story of Cape Cod,James A. Cooper,Cape Cod (Mass.) -- Fiction,NA,NA,9,70553,English,2012-06-28
105,"Baseball Joe at Yale; or, Pitching for the College Championship",Lester Chadwick,Conduct of life -- Juvenile fiction,Young men -- Conduct of life -- Juvenile fiction,College students -- Juvenile fiction,19,17,English,2012-06-29
106,"Loimologia: Or, an Historical Account of the Plague in London in 1665",Hodges et al.,Plague -- England -- London -- Early works to 1800,NA,NA,64,53697,English,2012-06-29
107,"L'Illustration, No. 0045, 6 Janvier 1844",Various,Illustrated periodicals -- France,NA,NA,8,22134,French,2012-06-29
108,Tales of Secret Egypt,Sax Rohmer,Short stories,Egypt -- Fiction,Mystery and detective stories,55,75985,English,2012-06-29
109,Taxidermy and Zoological Collecting,W. J. Holland and William T. Hornaday,Taxidermy,Zoological specimens -- Collection and preservation,NA,50,130484,English,2012-06-30
110,North American Jumping Mice (Genus Zapus),Philip H. Krutzsch,Zapus,NA,NA,16,52328,English,2012-06-30
111,In Silk Attire: A Novel,William Black,Fiction,NA,NA,14,119609,English,2012-06-30
112,Systematics of Megachiropteran Bats in the Solomon Islands,Carleton J. Phillips,Bats -- Solomon Islands,NA,NA,12,21507,English,2012-07-01
113,"The Flags of the World: Their History, Blazonry, and Associations",Hulme,Flags,NA,NA,19,74813,English,2012-07-01
114,Fashion and Famine,Ann S. Stephens,Fiction,NA,NA,27,144233,English,2012-07-01
115,Kuningas Henrik Kuudes II,William Shakespeare,"Henry VI, King of England, 1421-1471 -- Drama",Great Britain -- Kings and rulers -- Drama,"Great Britain -- History -- Henry VI, 1422-1461 -- Drama",5,17,Finnish,2012-07-01
116,Edith and John: A Story of Pittsburgh,Franklin Smith Farquhar,Pittsburgh (Pa.) -- Fiction,NA,NA,12,17,English,2012-07-01
117,Das Marien-Leben,Rainer Maria Rilke,"Mary, Blessed Virgin, Saint -- Poetry",NA,NA,18,2501,German,2012-07-01
118,The Religious Tract Society Catalogue - 1889,Religious Tract Society,Publishers' catalogs -- England -- London,Religious Tract Society (Great Britain) -- Catalogs,NA,29,6113,English,2012-07-01
119,Curiosities of Light and Sight,Shelford Bidwell,Light,Vision,NA,13,17,English,2012-07-01
120,The Vampire Cat,Gerard Van Etten,Vampires -- Drama,Japan -- History -- 1185-1600 -- Drama,NA,33,4219,English,2012-07-01
121,The Meeting-Place of Geology and History,Sir John William Dawson,Deluge,Prehistoric peoples,NA,27,50239,English,2012-07-02
122,Glimpses into the Abyss,Mary Higgs,Poor -- Great Britain,Women -- Employment -- Great Britain,Lodging-houses -- Great Britain,20,84272,English,2012-07-01
123,"Οι ευτράπελες ιστορίες του, Νασρ-εν-ντιν Χότζα",K. Trikoglides,Nasreddin Hoca (Legendary character) -- Humor,NA,NA,13,33575,Greek,2012-07-02
124,Poetical Ingenuities and Eccentricities,William T. Dobson,Humorous poetry,Macaronic poetry,NA,38,46112,English,2012-07-01
125,The Railroad Problem,Edward Hungerford,Railroads -- United States,Railroads -- United States -- Employees,NA,15,73878,English,2012-07-02
