,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
0,The Bird Book,Chester A. Reed,Birds -- North America,NA,NA,114,120789,English,2009-09-15
1,"On the Origin of Clockwork, Perpetual Motion Devices, and the Compass",Price,Clocks and watches,Horology,NA,144,16455,English,2009-09-16
2,Sjambak,Jack Vance,Science fiction,NA,NA,58,9277,English,2009-09-16
3,Law and Laughter,D. Macleod Malloch and George A. Morton,Law -- Great Britain -- Humor,Law -- United States -- Humor,NA,36,59830,English,2009-09-16
4,A Bottle of Old Wine,Richard O. Lewis,Science fiction,Short stories,NA,20,3714,English,2009-09-16
5,Zur Geschichte der Theorie der Elliptischen Transcendenten,Leo Koenigsberger,Elliptic functions,NA,NA,8,14742,German,2009-09-16
6,Cloudy Jewel,Grace Livingston Hill,Aunts -- Fiction,NA,NA,82,99049,English,2009-09-17
7,A Dear Little Girl's Thanksgiving Holidays,Amy Ella Blanchard,Orphans -- Juvenile fiction,Friendship -- Juvenile fiction,Girls -- Juvenile fiction,16,34707,English,2009-09-17
8,Le féminisme français I: L'émancipation individuelle et sociale de la fem, féminisme français I: L'émancipation individuelle et sociale de la femme,Women -- Social and moral questions,Women -- France,NA,16,131254,French,2009-09-17
9,Le féminisme français II: L'émancipation politique et familiale de la fem, féminisme français II: L'émancipation politique et familiale de la femme,Women -- Social and moral questions,Women -- France,NA,16,136459,French,2009-09-17
10,Trees Are Where You Find Them,Arthur Dekker Savage,Science fiction,Short stories,NA,8,2654,English,2009-09-17
11,An Aviator's Field Book,Oswald Boelcke,"World War, 1914-1918 -- Personal narratives, German","World War, 1914-1918 -- Aerial operations","Boelcke, Oswald, 1891-1916",45,22439,English,2009-09-17
12,L'Aiglon,Edmond Rostand,"Bonaparte, François-Charles-Joseph, Herzog von Reichstadt, 1811-1832 -- Drama",NA,NA,25,34570,English,2009-09-17
13,"Mémoires du maréchal Marmont, duc de Raguse (3/9)",Marmont,France -- History -- 1789-1900,"Marmont, Auguste Frédéric Louis Viesse de, duc de Raguse, 1774-1852",NA,12,109124,French,2009-09-17
14,Native Son,T. D. Hamm,Science fiction,Short stories,NA,59,2222,English,2009-09-17
15,Stopover Planet,Robert E. Gilbert,Science fiction,Short stories,NA,9,2542,English,2009-09-17
16,Medical Investigation in Seventeenth Century England,Bodemer and King,"Boyle, Robert, 1627-1691",Embryology -- England -- History -- 17th century,NA,16,14479,English,2009-09-18
17,My Father's Dragon,Ruth Stiles Gannett,Animals -- Fiction,Dragons -- Fiction,NA,590,7733,English,2009-09-18
18,"Punch, or the London Charivari, Vol. 98, February 22nd, 1890",Various,English wit and humor -- Periodicals,NA,NA,10,8825,English,2009-09-18
19,Navy Day,Harry Harrison,Science fiction,Short stories,NA,51,1952,English,2009-09-18
