,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
0,"John Gutenberg, First Master Printer",Franz von Dingelstedt,"Gutenberg, Johann, 1397?-1468 -- Fiction",NA,NA,11,20243,English,2015-09-17
1,What Happened to Me,La Salle Corbell Pickett,"United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate","Pickett, George E. (George Edward), 1825-1875",NA,6,77840,English,2015-09-18
2,The Hand-Made Gentleman: A Tale of the Battles of Peace,Irving Bacheller,United States -- History -- 19th century -- Fiction,NA,NA,8,17,English,2015-09-18
3,Schutz- und Trutzbündnisse in der Natur,Wilhelm Bölsche,Animal behavior,Plant ecology,NA,9,25591,German,2015-09-18
4,"The Evil Eye, Thanatology, and Other Essays",Roswell Park,Religion,Medicine,Mythology,37,93542,English,2015-09-18
5,Birds and Nature Vol. 10 No. 5 [December 1901],Various,Birds -- Periodicals,Natural history -- Periodicals,NA,9,17,English,2015-09-19
6,Shakespeare and the Emblem Writers,Henry Green,"Shakespeare, William, 1564-1616 -- Sources","Emblem books, English -- History",Emblems -- England -- History,40,17,English,2015-09-19
7,La garçonne,V. Margueritte,Paris (France) -- Fiction,Young women -- France -- Fiction,NA,54,71082,French,2015-09-19
8,The Kacháris,Sidney Endle,Kachari (Indic people),Bodo language,NA,86,49241,English,2015-09-19
9,Vaihdokas: Nelinäytöksinen näytelmä,Selma Anttila,Finnish drama,NA,NA,7,17,Finnish,2015-09-19
10,"Under Sentence of Death; Or, a Criminal's Last Hours",Victor Hugo,French fiction -- Translations into English,NA,NA,66,80886,English,2015-09-19
11,"Myths and Folk-tales of the Russians, Western Slavs, and Magyars",Jeremiah Curtin,Fairy tales -- Russia,Fairy tales -- Czech Republic,Fairy tales -- Hungary,135,141032,English,2015-09-19
12,"A Duel in the Dark: An Original Farce, in One Act",J. Stirling Coyne,Comedies,English drama -- 19th century,NA,3,7437,English,2015-09-19
13,"Harper's Young People, November 15, 1881",Various,"Children's periodicals, American",NA,NA,1,17,English,2015-09-19
14,The Trail of the Green Doll,Margaret Sutton,Mystery and detective stories,Theft -- Juvenile fiction,Women detectives -- Juvenile fiction,25,29373,English,2015-09-19
15,On the Edge of the Primeval Forest,Albert Schweitzer,"Schweitzer, Albert, 1875-1965",Missions -- Gabon,"Missions, Medical -- Gabon",52,54864,English,2015-09-19
16,"The Pansy Magazine, Vol. 15, Dec. 1887",Various,Sunday schools -- United States -- Periodicals,American literature -- 19th century -- Periodicals,NA,9,31806,English,2015-09-20
17,Yosemite Legends,Bertha H. Smith,Yosemite Valley (Calif.),NA,NA,7,0,English,2015-09-20
18,Willem Roda: Een jongensboek,Eli Heimans,Boys -- Juvenile fiction,Dutch -- Australia -- Juvenile fiction,NA,24,110669,Dutch,2015-09-20
