,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
19,Mestari Olavin häät,C. Georg Starbäck,Historical fiction,Swedish fiction -- Translations into Finnish,"Sweden -- History -- Gustav I Vasa, 1523-1560 -- Fiction",4,17,Finnish,2015-09-20
20,The Right Way the Safe Way,Lydia Maria Child,Slavery -- United States,Slavery -- West Indies,NA,1,40765,English,2015-09-20
21,An Irish Precursor of Dante,Charles Stuart Boswell,"Civilization, Celtic, in literature","Dante Alighieri, 1265-1321 -- Criticism and interpretation",Fís Adamnáin,29,83365,English,2015-09-20
22,The Wailing Asteroid,Murray Leinster,Science fiction,Asteroids -- Fiction,NA,60,56424,English,2015-09-20
23,The Economics of the Russian Village,Isaac A. Hourwich,Thesis (Ph. D.),Peasants,Land tenure -- Russia,12,48350,English,2015-09-20
24,"Scènes de la vie Hollandaise, par Hildebrand",Hildebrand,Dutch fiction -- Translations into French,NA,NA,3,17,French,2015-09-21
25,The Dying Indian's Dream: A Poem,Silas Tertius Rand,Indians of North America -- Poetry,NA,NA,3,17,English,2015-09-21
26,"Haifa; or, Life in modern Palestine",Laurence Oliphant,Palestine -- Description and travel,NA,NA,23,144138,English,2015-09-21
27,El sí de las niñas,Leandro Fernández de Moratín,Spanish drama (Comedy),NA,NA,51,19643,Spanish,2015-09-21
28,Utvandrarehistorier,Konni Zilliacus,Finnish Americans -- Fiction,NA,NA,4,36622,Swedish,2015-09-21
29,The Story of the Book of Mormon,George Reynolds,Mormons,Mormon Church -- Doctrines,Book of Mormon,18,116171,English,2015-09-21
30,Ihmissyöjäin saarilla: (Adventure) Romaani,Jack London,Adventure stories,Oceania -- Fiction,NA,3,57973,Finnish,2015-09-21
31,"Beaumont and Fletcher's Works, Vol. 04 of 10",Francis Beaumont and John Fletcher,English drama,NA,NA,17,17,English,2015-09-21
32,"A Dog of Flanders, The Nürnberg Stove, and Other Stories",Ouida,Dogs -- Juvenile fiction,Flanders (Belgium) -- Juvenile fiction,Stoves -- Juvenile fiction,20,60096,English,2015-09-22
33,"""Morgan's Men,"" a Narrative of Personal Experiences",Henry Lane Stone,"United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate",Confederate States of America. Army. Morgan's Cavalry Division,NA,5,9137,English,2015-09-22
34,Tragedies of the White Slave,H. M. Lytle,Prostitution -- Illinois -- Chicago,NA,NA,30,41499,English,2015-09-22
35,"Wives of the Prime Ministers, 1844-1906",Elizabeth Lee and Lucy Masterman,Great Britain -- Biography,Women -- Biography,Statesmen's spouses -- Great Britain -- Biography,10,54436,English,2015-09-22
36,"""My country, 'tis of thee!""",Willis Fletcher Johnson,United States -- Description and travel,United States -- History,NA,14,138108,English,2015-09-22
37,Wyllard's Weird: A Novel,M. E. Braddon,Murder -- Fiction,Mystery and detective stories,NA,48,168287,English,2015-09-22
38,The story of Hungary,Ármin Vámbéry,Hungary -- History,NA,NA,21,113043,English,2015-09-22
39,Kertomuksia kirkkohistorian alalta 1: Vanha aika,Mauno Rosendal,"Church history -- Primitive and early church, ca. 30-600",NA,NA,1,68748,Finnish,2015-09-24
40,St. Benedict’s Rule for Monasteries,Abbot of Monte Cassino Saint Benedict,Benedictines -- Rules,NA,NA,367,21931,English,2015-09-22
41,Beadle's Dime Song Book No. 4,Various,"Songs, English -- United States -- Texts",Songbooks,NA,6,17,English,2015-09-23
42,"The Forgery; or, Best Intentions.",G. P. R. James,Fiction,NA,NA,5,160701,English,2015-09-23
43,Poems,Maurice Maeterlinck,French poetry -- Translations into English,NA,NA,27,8257,English,2015-09-23
44,Romantic legends of Spain,Gustavo Adolfo Bécquer,Spain -- Social life and customs -- Fiction,"Short stories, Spanish -- Translations into English",NA,94,0,English,2015-09-23
45,"The Art of Kissing: Curiously, Historically, Humorously, Poetically Consider","e Art of Kissing: Curiously, Historically, Humorously, Poetically Considered",Kissing -- Anecdotes,Kissing -- Humor,Kissing in literature,36,20419,English,2015-09-23
46,"The Writings of Thomas Jefferson, Vol. 2 (of 9)",Thomas Jefferson,United States -- Politics and government -- 1775-1783,United States -- Politics and government -- 1783-1865,NA,43,221627,English,2015-09-23
47,"The Old Sixth Regiment, Its War Record, 1861-5",Charles K. Cadwell,"United States -- History -- Civil War, 1861-1865 -- Regimental histories -- Connecticut","United States. Army. Connecticut Infantry Regiment, 6th (1861-1865)",NA,15,50563,English,2015-09-23
48,The Diary of a Turk,Çerkesseyhizade Halil Halit,Turkey -- Social life and customs,NA,NA,21,52303,English,2015-09-24
49,King René d'Anjou and His Seven Queens,Edgcumbe Staley,France -- Court and courtiers,"René I, King of Naples and Jerusalem, 1409-1480",NA,22,100976,English,2015-09-24
50,The Sea-girt Fortress: A Story of Heligoland,Percy F. Westerman,War stories,"World War, 1914-1918 -- Naval operations -- Juvenile fiction",Helgoland (Germany) -- Juvenile fiction,15,66579,English,2015-09-24
51,"The Motor Boys on Road and River; Or, Racing To Save a Life",Clarence Young,Missing persons -- Juvenile fiction,Mystery and detective stories,Fraud -- Juvenile fiction,8,53163,English,2015-09-25
52,Pictures of the old French court,Mrs. Bearne,"Jeanne de Bourbon, Queen, consort of Charles V, King of France, 1335-1378","Isabella, Queen, consort of Charles VI, King of France, 1370-1435","Anne, of Brittany, Queen, consort of Louis XII, King of France, 1476-1514",9,99345,English,2015-09-25
53,Notes on the Iroquois,Henry Rowe Schoolcraft,Iroquois Indians,Indians of North America -- New York (State),NA,72,96579,English,2015-09-25
54,"The Female Quixote; or, The Adventures of Arabella, v. 1-2",Charlotte Lennox,Adventure stories,England -- Social life and customs -- 18th century -- Fiction,Young women -- England -- Fiction,105,147481,English,2015-09-25
55,En prestgård i N—d,Charlotta Falkman,Fiction,NA,NA,2,17,Swedish,2015-09-25
56,The Dance: Its Place in Art and Life,Margaret West Kinney and Troy Kinney,Dance,NA,NA,96,17,English,2015-09-26
57,The Early Cave-Men,Katharine Elizabeth Dopp,Archaeology -- Juvenile literature,Cave dwellers -- Juvenile literature,NA,13,28739,English,2015-09-26
58,Marion Harland's Complete Etiquette,Harland and Van de Water,Etiquette,NA,NA,9,96186,English,2015-09-26
59,How to Behave and How to Amuse: A Handy Manual of Etiquette and Parlor Gam,w to Behave and How to Amuse: A Handy Manual of Etiquette and Parlor Games,Etiquette,Games,Amusements,28,75118,English,2015-09-26
60,"Under the Hill, and Other Essays in Prose and Verse",Aubrey Beardsley,English literature -- 19th century,"Beardsley, Aubrey, 1872-1898",NA,60,10766,English,2015-09-26
61,"Chambers's Journal of Popular Literature, Science, and Art, No. 719",Various,Periodicals,NA,NA,6,17104,English,2015-09-26
62,En qvinna af vår tid: Karaktersteckning,Marie Linder,Fiction,NA,NA,2,17,Swedish,2015-09-26
63,People Minus X,Raymond Z. Gallun,Science fiction,NA,NA,24,52858,English,2015-09-27
64,Proverbial Philosophy,Martin Farquhar Tupper,Proverbs,NA,NA,45,17,English,2015-09-27
65,Peloponneesolais-sota,Thucydides,"Greece -- History -- Peloponnesian War, 431-404 B.C.",NA,NA,3,137278,Finnish,2015-09-27
66,War Services of the 62nd West Riding Divisional Artillery,Austin Thomas Anderson,"World War, 1914-1918 -- Regimental histories -- Great Britain","Great Britain. Army. Division, 62nd",NA,5,17,English,2015-09-27
67,Kertomuksia kirkkohistorian alalta 2: Keski-aika,Mauno Rosendal,"Church history -- Middle Ages, 600-1500",NA,NA,3,97676,Finnish,2015-09-28
68,Hawkins Electrical Guide v. 08 (of 10),N. Hawkins,"Electrical engineering -- Handbooks, manuals, etc.",NA,NA,47,79531,English,2015-09-28
69,Voyage dans la lune avant 1900,A. de Ville D'Avray,Space flight to the moon -- Fiction,Moon -- Fiction,"Voyages, Imaginary -- Fiction",11,3414,French,2015-09-28
70,"Dave Dashaway and His Giant Airship; or, A Marvellous Trip Across the Atlant","ve Dashaway and His Giant Airship; or, A Marvellous Trip Across the Atlantic",Airships -- Juvenile fiction,Transatlantic flights -- Juvenile fiction,NA,11,17,English,2015-09-28
71,Round about Bar-le-Duc,Susanne R. Day,"World War, 1914-1918 -- Personal narratives, English","World War, 1914-1918 -- Refugees -- France","World War, 1914-1918 -- War work -- France",8,81604,English,2015-09-28
72,Fragments of Experience,Various,Mormons -- History,"Young, Lorenzo Dow, 1807-1895",NA,11,32519,English,2015-09-29
73,The Age of Stonehenge,Edward Duke,Stonehenge (England),NA,NA,8,2656,English,2015-09-29
74,"The Chapel of the Holy Spirit in the Church of St. Peter's, Cranley Garden","e Chapel of the Holy Spirit in the Church of St. Peter's, Cranley Gardens,",Church architecture -- England -- London,NA,NA,3,5574,English,2015-09-29
75,"""1683-1920""",Frederick Franklin Schrader,Germans -- United States,"World War, 1914-1918 -- Miscellanea",NA,51,108972,English,2015-09-29
76,"A Memoir of Transactions That Took Place in St. Domingo, in the Spring of 17","Memoir of Transactions That Took Place in St. Domingo, in the Spring of 1799","Haiti -- History -- Revolution, 1791-1804",NA,NA,11,4783,English,2015-09-29
77,Maternity: Letters from Working-Women,Women's Co-operative Guild,Mothers -- Great Britain -- Biography,Mother and child -- History -- 19th century,Maternal and infant welfare -- Great Britain -- History -- 19th century,20,66799,English,2015-09-29
78,The Forlorn Hope: A Tale of Old Chelsea,Mrs. S. C. Hall,"Chelsea (London, England) -- Fiction",NA,NA,7,17,English,2015-09-29
79,A Book on Vegetable Dyes,Ethel Mairet,Dyes and dyeing,Dye plants,NA,32,30237,English,2015-09-30
80,"Motor Matt Makes Good; or, Another Victory For the Motor Boys",Matthews,Adventure stories,Submarines (Ships) -- Juvenile fiction,Dime novels,4,32816,English,2015-09-30
81,Natur und Mensch,Ernst Haeckel,Natural history,Human beings -- Origin,Heredity,28,17,German,2015-09-30
82,Talks on Teaching Literature,Arlo Bates,Literature -- Study and teaching,NA,NA,7,62783,English,2015-09-30
83,"Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, (1/","moires touchant la vie et les écrits de Marie de Rabutin-Chantal, (1/6)",France -- Court and courtiers,"Sévigné, Marie de Rabutin-Chantal, marquise de, 1626-1696",NA,8,153889,French,2015-09-30
84,Atala: Seikkailu aarniometsässä,vicomte de François-René Chateaubriand,Indians of North America -- Fiction,French fiction -- Translations into Finnish,NA,7,15888,Finnish,2015-09-30
85,"Harper's Young People, November 22, 1881",Various,"Children's periodicals, American",NA,NA,1,16866,English,2015-09-30
86,Creation or Evolution? A Philosophical Inquiry,George Ticknor Curtis,Evolution,Creation,NA,23,194961,English,2015-09-30
87,The Turning of Grigg, Being a Story of Keeping up with Dan'l Webster,Young women -- Fiction,Love stories,Villages -- Fiction,12,23779,English,2015-09-30
88,The Marryers: A History Gathered from a Brief of the Honorable Socrates Pott,e Marryers: A History Gathered from a Brief of the Honorable Socrates Potter,Mate selection -- Fiction,Courtship -- Fiction,Americans -- Italy -- Fiction,15,38630,English,2015-09-30
89,The Paper Cap: A Story of Love and Labor,Amelia E. Barr,England -- Social life and customs -- 19th century -- Fiction,Working class -- England -- Fiction,England -- Social conditions -- 19th century -- Fiction,11,83270,English,2015-09-30
90,The Red Lady,Katharine Newlin Burt,North Carolina -- Fiction,Mystery fiction,Housekeepers -- Fiction,19,49607,English,2015-09-30
91,"Silas Strong, Emperor of the Woods",Irving Bacheller,Adirondack Mountains (N.Y.) -- Fiction,Logging -- Fiction,NA,7,63351,English,2015-09-30
92,Illustrated Edition of the Life and Escape of Wm. Wells Brown from Americ,lustrated Edition of the Life and Escape of Wm. Wells Brown from American,Slaves -- United States -- Biography,Slavery -- Missouri,NA,11,24963,English,2015-09-30
93,Keeping Up with William,Irving Bacheller,"World War, 1914-1918",NA,NA,10,17779,English,2015-09-30
94,Elinkautinen,Jonas Lie,Norwegian fiction -- Translations into Finnish,NA,NA,2,17,Finnish,2015-09-30
95,The Works of William Shakespeare [Cambridge Edition] [Vol. 4 of 9],Shakespeare,English drama,NA,NA,25,17,English,2015-09-30
96,"Beaumont and Fletcher's Works, Vol. 10 of 10",Francis Beaumont and John Fletcher,English drama,NA,NA,33,17,English,2015-09-30
97,Lady Huntworth's Experiment: An original comedy in three acts,R. C. Carton,Comedies,Man-woman relationships -- Drama,English drama,3,17,English,2015-09-30
98,"The War History of the 4th Battalion, the London Regiment (Royal Fusiliers","e War History of the 4th Battalion, the London Regiment (Royal Fusiliers),","World War, 1914-1918 -- Regimental histories -- Great Britain",Great Britain. Army. London Regiment. 4th (City of London) Battalion,NA,11,186299,English,2015-09-30
99,Mollentrave on Women: A comedy in three acts,Alfred Sutro,Comedies,Women -- Drama,NA,2,17,English,2015-09-30
100,How to Do Chemical Tricks,active 1894-1902 A. Anderson,"Scientific recreations -- Handbooks, manuals, etc.","Chemistry -- Experiments -- Handbooks, manuals, etc.","Tricks -- Handbooks, manuals, etc.",30,19531,English,2015-09-30
101,Über die Probenächte der teutschen Bauermädchen,Fischer,Women -- Germany -- Early works to 1800,Germany -- Social life and customs -- Early works to 1800,NA,17,17,German,2015-09-30
102,"The River Motor Boat Boys on the Amazon; Or, The Secret of Cloud Island",Gordon,Boats and boating -- Juvenile fiction,Motorboats -- Juvenile fiction,Amazon River -- Juvenile fiction,8,50612,English,2015-10-01
103,The Dwindling Years,Lester Del Rey,Science fiction,Short stories,Older men -- Fiction,33,5660,English,2015-10-01
104,"Jessica's First Prayer; and, Jessica's Mother",Hesba Stretton,Christian life -- Juvenile fiction,Friendship -- Juvenile fiction,London (England) -- Juvenile fiction,27,24930,English,2015-10-01
105,Grace Harlowe's Overland Riders on the Old Apache Trail,Josephine Chase,Western stories,Adventure stories,Cowgirls -- Juvenile fiction,24,52242,English,2015-10-01
106,Greece and the Ægean Islands,Philip Sanford Marden,Greece -- Description and travel,Aegean Islands (Greece and Turkey) -- Description and travel,NA,14,91006,English,2015-10-01
107,Julius LeVallon: An Episode,Algernon Blackwood,Reincarnation -- Fiction,NA,NA,24,106374,English,2015-10-01
108,A Father's Legacy to His Daughters,John Gregory,Young women -- Conduct of life,Young women,NA,81,13069,English,2015-10-01
109,The Mysterious Stranger: A Romance,Mark Twain,Middle Ages -- Fiction,Austria -- Fiction,Devil -- Fiction,57,37160,English,2015-10-01
110,Alfred Kihlman: Elämän kuvaus. 1 (of 2),Eliel Aspelin-Haapkylä,"Kihlman, Alfred, 1825-1904",Lutheran Church -- Clergy -- Biography,Clergy -- Finland -- Helsinki -- Biography,9,17,Finnish,2015-10-01
111,"The Philippine Islands, 1493-1898, Volume 38, 1674-1683",Edward Gaylord Bourne et al.,Philippines -- History -- Sources,Missions -- Philippines,Philippines -- Discovery and exploration,122,80813,English,2015-10-01
112,Nyårsafton,Charlotta Falkman,Fiction,NA,NA,2,17329,Swedish,2015-10-01
113,"My Memoirs, Vol. II, 1822 to 1825",Alexandre Dumas,"Dumas, Alexandre, 1802-1870",NA,NA,48,17,English,2015-10-02
114,Kaksi partiopoikaa,Ernest Thompson Seton,Camping -- Juvenile fiction,Outdoor life -- Juvenile fiction,NA,13,90094,Finnish,2015-10-02
115,"Struggles and Triumphs: or, Forty Years' Recollections of P. T. Barnum",Barnum,"Barnum, P. T. (Phineas Taylor), 1810-1891",Circus owners -- United States -- Biography,NA,84,172396,English,2015-10-02
116,Sureeko Suomi Jumalan mielen mukaan?,Mauno Rosendal,Finland -- Church history,NA,NA,5,13469,Finnish,2015-10-03
117,Kukkia Kantelettaren kaskilta,Kaarlo Forsman,"Lönnrot, Elias, 1802-1884. Kanteletar",NA,NA,1,8505,Finnish,2015-10-03
118,"Napoleon's Appeal to the British Nation, on His Treatment at Saint Hele","poleon's Appeal to the British Nation, on His Treatment at Saint Helena","Napoleon I, Emperor of the French, 1769-1821 -- Captivity, 1815-1821","Napoleon I, Emperor of the French, 1769-1821 -- Relations with British",NA,11,17,English,2015-10-03
119,"The Rocket: The Story of the Stephensons, Father and Son",Helen C. Knight,Christian life -- Juvenile fiction,Conduct of life -- Juvenile fiction,Children -- Conduct of life -- Juvenile fiction,17,21335,English,2015-10-03
120,Die Sebalduskirche in Nürnberg,Friedrich Wilhelm Hoffmann,"Sebalduskirche (Nuremberg, Germany)",NA,NA,23,98357,German,2015-10-03
121,Fifteen New Ways for Oysters,S. T. Rorer,Cooking (Oysters),NA,NA,10,17,English,2015-10-03
122,The Glorious Return: A Story of the Vaudois in 1689,Crona Temple,Waldenses -- Fiction,NA,NA,7,27139,English,2015-10-03
123,"The River Motor Boat Boys on the Columbia; Or, The Confession of a Photogra","e River Motor Boat Boys on the Columbia; Or, The Confession of a Photograph",Boats and boating -- Juvenile fiction,Motorboats -- Juvenile fiction,Columbia River -- Juvenile fiction,9,54769,English,2015-10-03
124,"Frederick William Maitland, Downing Professor of the Laws of England",Fisher,"Maitland, Frederic William, 1850-1906",NA,NA,10,47922,English,2015-10-03
125,The Court of Philip IV.: Spain in Decadence,Martin A. S. Hume,Spain -- Court and courtiers,"Spain -- History -- Philip IV, 1621-1665","Philip IV, King of Spain, 1605-1665",51,155972,English,2015-10-03
126,Los Recursos de la Astucia,Pío Baroja,"Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction",NA,NA,16,61474,Spanish,2015-10-04
127,Die Schwägerinnen. Erster Theil.,Henriette Wilhelmine Arndt Hanke,German fiction -- 19th century,NA,NA,3,48981,German,2015-10-04
128,Die Schwägerinnen. Zweiter Theil.,Henriette Wilhelmine Arndt Hanke,German fiction -- 19th century,NA,NA,2,17,German,2015-10-04
129,Sam Lawson's Oldtown Fireside Stories,Harriet Beecher Stowe,"Short stories, American",Storytelling -- Fiction,New England -- Social life and customs -- 19th century -- Fiction,28,57383,English,2015-10-04
130,The Negro in the American Rebellion: His Heroism and His Fidelity,Brown,African American soldiers -- History -- 19th century,"United States -- History -- Civil War, 1861-1865 -- Participation, African American",African Americans -- Southern States -- Social conditions -- 19th century,40,100520,English,2015-10-04
131,The Marbeck Inn: A Novel,Harold Brighouse,England -- Social life and customs -- Fiction,NA,NA,14,82506,English,2015-10-04
132,"The River Motor Boat Boys on the Colorado; Or, The Clue in the Rocks",Gordon,Boats and boating -- Juvenile fiction,Motorboats -- Juvenile fiction,Colorado River (Colo.-Mexico) -- Juvenile fiction,17,55360,English,2015-10-04
133,The Dunwich Horror,H. P. Lovecraft,Fantasy fiction,Horror tales,American fiction -- 20th century,730,17385,English,2015-10-04
134,Running the Blockade,Thomas E. Taylor,"United States -- History -- Civil War, 1861-1865 -- Blockades","Taylor, Thomas E.",NA,11,17,English,2015-10-05
135,Saaristosta: Kuvia suomalaisten saaristolaisten elämästä,Santeri Ivalo,Finnish fiction,NA,NA,4,21113,Finnish,2015-10-05
136,Die Oberheudorfer in der Stadt,Josephine Siebe,"Children's stories, German",City and town life -- Juvenile fiction,Germany -- Juvenile fiction,7,17,German,2015-10-05
137,"Narrative of the Battle of Cowan's Ford, February 1st, 1781",Henry and Vance,"United States -- History -- Revolution, 1775-1783 -- Campaigns","Cowan's Ford, Battle of, N.C., 1781","King's Mountain, Battle of, S.C., 1780",12,17,English,2015-10-05
138,Doomsday Eve,Robert Moore Williams,Science fiction,Imaginary wars and battles -- Fiction,NA,25,41365,English,2015-10-05
139,A Practical Treatise on the Manufacture of Perfumery,C. Deite,Cosmetics,Perfumes,Perfumes industry,50,93544,English,2015-10-06
140,"The Story of the Thirty-second Regiment, Massachusetts Infantry",Parker,"United States -- History -- Civil War, 1861-1865 -- Regimental histories","United States. Army. Massachusetts Infantry Regiment, 32nd (1862-1865)",NA,16,17,English,2015-10-06
141,Philosophical Studies,G. E. Moore,Philosophy,"Philosophy, Modern",NA,57,116025,English,2015-10-06
142,Alfred Kihlman: Elämän kuvaus. 2 (of 2),Eliel Aspelin-Haapkylä,"Kihlman, Alfred, 1825-1904",Lutheran Church -- Clergy -- Biography,Clergy -- Finland -- Helsinki -- Biography,3,98648,Finnish,2015-10-06
143,"A Collection of Emblemes, Ancient and Moderne",George Wither,Emblems,NA,NA,42,76661,English,2015-10-06
144,Œuvres complètes de Guy de Maupassant - volume 05,Guy de Maupassant,French literature -- 19th century,NA,NA,62,17,French,2015-10-06
145,The First Afghan War,Mowbray Morris,Afghan Wars,NA,NA,6,23091,English,2015-10-06
146,Näyttäymättömät: Huvi-näytelmä kolmessa näytöksessä,Ludvig Holberg,Comedies,Danish drama -- Translations into Finnish,NA,0,17,Finnish,2015-10-06
147,Beaver: An Alphabet of Typical Specimens,John Kettelwell,Beards,NA,NA,11,5365,English,2015-10-06
148,Looking Forward: A Dream of the United States of the Americas in 1999,Bird,United States -- Civilization,Twentieth century -- Forecasts,NA,7,50903,English,2015-10-06
149,Mitt lif och lefverne,Albert Engström,"Engström, Albert, 1869-1940",NA,NA,4,17,Swedish,2015-10-07
150,The Devil is an Ass,Ben Jonson,Comedies,English drama -- 17th century,NA,103,113902,English,2015-10-07
151,"The Philippine Islands, 1493-1898, Volume 44, 1700-1736",Edward Gaylord Bourne et al.,Philippines -- History -- Sources,Missions -- Philippines,Philippines -- Discovery and exploration,25,87333,English,2015-10-07
152,Liverpool,Dixon Scott,Liverpool (England) -- Description and travel,NA,NA,5,27429,English,2015-10-07
153,"""Wanted, a Young Lady"" : A Farce, in One Act",William E. Suter,English drama -- 19th century,Farces,NA,2,5738,English,2015-10-08
154,Contes de lundi,Alphonse Daudet,France -- Social life and customs -- Fiction,"Short stories, French",French fiction -- 19th century,32,17,French,2015-10-08
155,Cathay,Bai Li and Ezra Pound,Poetry,NA,NA,274,3553,English,2015-10-08
156,"Anecdotes about Authors, and Artists",John Timbs,Artists -- Anecdotes,Authors -- Anecdotes,NA,12,17,English,2015-10-08
157,"Billie Bradley and the School Mystery; Or, The Girl From Oklahoma",Wheeler,Detective and mystery stories,Friendship -- Juvenile fiction,Boarding schools -- Juvenile fiction,26,42954,English,2015-10-08
158,The Journal of Joachim Hane,Joachim Hane,France -- Foreign relations -- Great Britain,Great Britain -- Foreign relations -- France,NA,3,17,English,2015-10-08
159,"Charles Sumner: his complete works, volume 13 (of 20)",Charles Sumner,Slavery -- United States,"Speeches, addresses, etc., American",NA,12,109966,English,2015-10-08
160,"Charles Sumner: his complete works, volume 14 (of 20)",Charles Sumner,Slavery -- United States,"Speeches, addresses, etc., American",NA,3,97561,English,2015-10-08
161,"Charles Sumner: his complete works, volume 15 (of 20)",Charles Sumner,Slavery -- United States,"Speeches, addresses, etc., American",NA,8,17,English,2015-10-08
162,Songs of love and empire,E. Nesbit,English poetry -- 19th century,NA,NA,9,17,English,2015-10-08
163,"Harper's Young People, November 29, 1881",Various,"Children's periodicals, American",NA,NA,3,17117,English,2015-10-08
164,Elämän taistelu,Charles Dickens,England -- Social life and customs -- 19th century -- Fiction,Christmas stories,English fiction -- Translations into Finnish,0,24333,Finnish,2015-10-08
165,"The Flying Machine Boys on Duty; Or, The Clue Above the Clouds",Frank Walton,Mystery and detective stories,Aeronautics -- Juvenile fiction,NA,11,17,English,2015-10-09
166,"The Boy Allies with Marshal Foch; or, The Closing Days of the Great World W","e Boy Allies with Marshal Foch; or, The Closing Days of the Great World War","World War, 1914-1918 -- Juvenile fiction",NA,NA,16,50934,English,2015-10-08
167,"Charles Sumner: his complete works, volume 16 (of 20)",Charles Sumner,Slavery -- United States,"Speeches, addresses, etc., American",NA,7,100746,English,2015-10-09
168,Vekkulit ja kekkulit: Leikki-näytelmä kahdessa näytöksessä,Antero Warelius,Finnish drama -- 19th century,NA,NA,2,8553,Finnish,2015-10-09
169,Hermia Suydam,Gertrude Franklin Horn Atherton,Widows -- Fiction,Families -- Fiction,NA,5,44179,English,2015-10-10
170,The Philosophy Which Shows the Physiology of Mesmerism and Explains t,e Philosophy Which Shows the Physiology of Mesmerism and Explains the,Mesmerism,NA,NA,10,27028,English,2015-10-10
171,The Art of Aubrey Beardsley,Arthur Symons,"Beardsley, Aubrey, 1872-1898",NA,NA,60,8305,English,2015-10-10
172,Kasakat: Kaukasialainen kertomus,graf Leo Tolstoy,"Russia -- History -- Nicholas I, 1825-1855 -- Fiction",Caucasus -- Fiction,NA,2,17,Finnish,2015-10-10
173,"Molière - Œuvres complètes, Tome 3",Molière,French drama -- 17th century,NA,NA,130,96358,French,2015-10-10
174,On English Poetry,Robert Graves,English poetry -- History and criticism,NA,NA,35,29885,English,2015-10-10
175,Bird Watching,Edmund Selous,Birds,Bird watching,NA,20,102221,English,2015-10-10
176,The Pride of Eve,Warwick Deeping,England -- Fiction,NA,NA,8,17,English,2015-10-10
177,The Fourth Generation,Walter Besant,England -- Social life and customs -- 19th century -- Fiction,Murder -- Fiction,Families -- Fiction,5,85264,English,2015-10-10
178,ఈ దారి ఎక్కడికి? (రధచక్రాలు - ఉత్తరగాధ),Mahidhara Ramamohan Rao,Fiction,NA,NA,23,42252,Telugu,2015-10-10
179,Human Follies (La Bêtise Humaine.),Jules Noriac,French fiction -- Translations into English,NA,NA,2,36276,English,2015-10-11
180,Penelope: A Comedy in Three Acts,W. Somerset Maugham,Man-woman relationships -- Drama,Married people -- Drama,English drama -- 20th century,11,17,English,2015-10-11
