,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
5493,A Thorny Path — Volume 09,Georg Ebers,Egypt -- History -- 30 B.C.-640 A.D. -- Fiction,German fiction -- Translations into English,NA,0,17,English,2004-04-01
5494,A Thorny Path — Volume 10,Georg Ebers,Egypt -- History -- 30 B.C.-640 A.D. -- Fiction,German fiction -- Translations into English,NA,0,16097,English,2004-04-01
5495,A Thorny Path — Volume 11,Georg Ebers,Egypt -- History -- 30 B.C.-640 A.D. -- Fiction,German fiction -- Translations into English,NA,0,19564,English,2004-04-01
5496,A Thorny Path — Volume 12,Georg Ebers,Egypt -- History -- 30 B.C.-640 A.D. -- Fiction,German fiction -- Translations into English,NA,1,16846,English,2004-04-01
5497,A Thorny Path — Complete,Georg Ebers,Egypt -- History -- 30 B.C.-640 A.D. -- Fiction,German fiction -- Translations into English,NA,14,212215,English,2004-11-15
5498,In the Fire of the Forge: A Romance of Old Nuremberg — Volume 01,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,2,16958,English,2004-04-01
5499,In the Fire of the Forge: A Romance of Old Nuremberg — Volume 02,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,1,17827,English,2004-04-01
5500,In the Fire of the Forge: A Romance of Old Nuremberg — Volume 03,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,17,English,2004-04-01
5501,In the Fire of the Forge: A Romance of Old Nuremberg — Volume 04,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,17,English,2004-04-01
5502,In the Fire of the Forge: A Romance of Old Nuremberg — Volume 05,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,17,English,2004-04-01
5503,In the Fire of the Forge: A Romance of Old Nuremberg — Volume 06,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,17,English,2004-04-01
5504,In the Fire of the Forge: A Romance of Old Nuremberg — Volume 07,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,2,23368,English,2004-04-01
5505,In the Fire of the Forge: A Romance of Old Nuremberg — Volume 08,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,20925,English,2004-04-01
5506,In the Fire of the Forge: A Romance of Old Nuremberg — Complete,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,48,153097,English,2004-11-15
5507,Margery (Gred): A Tale Of Old Nuremberg — Volume 01,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,17,English,2004-04-01
5508,Margery (Gred): A Tale Of Old Nuremberg — Volume 02,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,17,English,2004-04-01
5509,Margery (Gred): A Tale Of Old Nuremberg — Volume 03,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,18838,English,2004-04-01
5510,Margery (Gred): A Tale Of Old Nuremberg — Volume 04,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,18103,English,2004-04-01
5511,Margery (Gred): A Tale Of Old Nuremberg — Volume 05,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,19155,English,2004-04-01
5512,Margery (Gred): A Tale Of Old Nuremberg — Volume 06,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,19263,English,2004-04-01
5513,Margery (Gred): A Tale Of Old Nuremberg — Volume 07,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,20592,English,2004-04-01
5514,Margery (Gred): A Tale Of Old Nuremberg — Volume 08,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,0,17,English,2004-04-01
5515,Margery (Gred): A Tale Of Old Nuremberg — Complete,Georg Ebers,German fiction -- Translations into English,Nuremberg (Germany) -- Fiction,NA,36,160008,English,2004-11-15
5516,Barbara Blomberg — Volume 01,Georg Ebers,German fiction -- Translations into English,"Holy Roman Empire -- History -- Charles V, 1519-1556 -- Fiction",NA,3,17,English,2004-04-01
5517,Barbara Blomberg — Volume 02,Georg Ebers,German fiction -- Translations into English,"Holy Roman Empire -- History -- Charles V, 1519-1556 -- Fiction",NA,0,17,English,2004-04-01
5518,Barbara Blomberg — Volume 03,Georg Ebers,German fiction -- Translations into English,"Holy Roman Empire -- History -- Charles V, 1519-1556 -- Fiction",NA,0,17373,English,2004-04-01
5519,Barbara Blomberg — Volume 04,Georg Ebers,German fiction -- Translations into English,"Holy Roman Empire -- History -- Charles V, 1519-1556 -- Fiction",NA,0,18929,English,2004-04-01
5520,Barbara Blomberg — Volume 05,Georg Ebers,German fiction -- Translations into English,"Holy Roman Empire -- History -- Charles V, 1519-1556 -- Fiction",NA,0,14418,English,2004-04-01
5521,Barbara Blomberg — Volume 06,Georg Ebers,German fiction -- Translations into English,"Holy Roman Empire -- History -- Charles V, 1519-1556 -- Fiction",NA,0,17,English,2004-04-01
5522,Barbara Blomberg — Volume 07,Georg Ebers,German fiction -- Translations into English,"Holy Roman Empire -- History -- Charles V, 1519-1556 -- Fiction",NA,0,20720,English,2004-04-01
5523,Barbara Blomberg — Volume 08,Georg Ebers,German fiction -- Translations into English,"Holy Roman Empire -- History -- Charles V, 1519-1556 -- Fiction",NA,0,19436,English,2004-04-01
5524,Barbara Blomberg — Volume 09,Georg Ebers,German fiction -- Translations into English,"Holy Roman Empire -- History -- Charles V, 1519-1556 -- Fiction",NA,0,17,English,2004-04-01
5525,Barbara Blomberg — Volume 10,Georg Ebers,German fiction -- Translations into English,"Holy Roman Empire -- History -- Charles V, 1519-1556 -- Fiction",NA,1,23459,English,2004-04-01
5526,Barbara Blomberg — Complete,Georg Ebers,German fiction -- Translations into English,"Holy Roman Empire -- History -- Charles V, 1519-1556 -- Fiction",NA,9,196798,English,2004-11-15
5527,"A Word, Only a Word — Volume 01",Georg Ebers,"Netherlands -- History -- Eighty Years' War, 1568-1648 -- Fiction",German fiction -- Translations into English,NA,4,17,English,2004-04-01
5528,"A Word, Only a Word — Volume 02",Georg Ebers,"Netherlands -- History -- Eighty Years' War, 1568-1648 -- Fiction",German fiction -- Translations into English,NA,2,20856,English,2004-04-01
5529,"A Word, Only a Word — Volume 03",Georg Ebers,"Netherlands -- History -- Eighty Years' War, 1568-1648 -- Fiction",German fiction -- Translations into English,NA,1,17,English,2004-04-01
5530,"A Word, Only a Word — Volume 04",Georg Ebers,"Netherlands -- History -- Eighty Years' War, 1568-1648 -- Fiction",German fiction -- Translations into English,NA,1,17,English,2004-04-01
5531,"A Word, Only a Word — Volume 05",Georg Ebers,"Netherlands -- History -- Eighty Years' War, 1568-1648 -- Fiction",German fiction -- Translations into English,NA,1,17,English,2004-04-01
5532,"A Word, Only a Word — Complete",Georg Ebers,"Netherlands -- History -- Eighty Years' War, 1568-1648 -- Fiction",German fiction -- Translations into English,NA,25,17,English,2004-11-15
5533,The Burgomaster's Wife — Volume 01,Georg Ebers,"Netherlands -- History -- Eighty Years' War, 1568-1648 -- Fiction",German fiction -- Translations into English,NA,0,16677,English,2004-04-01
5534,The Burgomaster's Wife — Volume 02,Georg Ebers,"Netherlands -- History -- Eighty Years' War, 1568-1648 -- Fiction",German fiction -- Translations into English,NA,0,19113,English,2004-04-01
5535,The Burgomaster's Wife — Volume 03,Georg Ebers,"Netherlands -- History -- Eighty Years' War, 1568-1648 -- Fiction",German fiction -- Translations into English,NA,0,20028,English,2004-04-01
5536,The Burgomaster's Wife — Volume 04,Georg Ebers,"Netherlands -- History -- Eighty Years' War, 1568-1648 -- Fiction",German fiction -- Translations into English,NA,0,17,English,2004-04-01
5537,The Burgomaster's Wife — Volume 05,Georg Ebers,"Netherlands -- History -- Eighty Years' War, 1568-1648 -- Fiction",German fiction -- Translations into English,NA,0,17,English,2004-04-01
5538,The Burgomaster's Wife — Complete,Georg Ebers,"Netherlands -- History -- Eighty Years' War, 1568-1648 -- Fiction",German fiction -- Translations into English,NA,62,17,English,2004-11-15
5539,In the Blue Pike — Volume 01,Georg Ebers,Germany -- Fiction,German fiction -- Translations into English,NA,0,11651,English,2004-04-01
5540,In the Blue Pike — Volume 02,Georg Ebers,Germany -- Fiction,German fiction -- Translations into English,NA,0,17,English,2004-04-01
5541,In the Blue Pike — Volume 03,Georg Ebers,Germany -- Fiction,German fiction -- Translations into English,NA,0,17,English,2004-04-01
5542,In the Blue Pike — Complete,Georg Ebers,Germany -- Fiction,German fiction -- Translations into English,NA,4,17,English,2004-04-01
5543,A Question,Georg Ebers,Historical fiction,German fiction -- Translations into English,NA,3,20046,English,2004-04-01
5544,The Elixir,Georg Ebers,German fiction -- Translations into English,Leipzig (Germany) -- Fiction,NA,2,17,English,2004-04-01
5545,The Greylock: A Fairy Tale,Georg Ebers,Fairy tales,German fiction -- Translations into English,NA,4,17,English,2004-04-01
5546,The Nuts: A Christmas Story for my Children and Grandchildren,Georg Ebers,Christmas stories,German fiction -- Translations into English,NA,2,5651,English,2004-04-01
5547,The Complete Short Works of Georg Ebers,Georg Ebers,German fiction -- Translations into English,NA,NA,16,99286,English,2004-11-15
5548,The Story of My Life — Volume 01,Georg Ebers,"Ebers, Georg, 1837-1898",NA,NA,3,15586,English,2004-04-01
5549,The Story of My Life — Volume 02,Georg Ebers,"Ebers, Georg, 1837-1898",NA,NA,1,12821,English,2004-04-01
5550,The Story of My Life — Volume 03,Georg Ebers,"Ebers, Georg, 1837-1898",NA,NA,0,13039,English,2004-04-01
5551,The Story of My Life — Volume 04,Georg Ebers,"Ebers, Georg, 1837-1898",NA,NA,1,17,English,2004-04-01
5552,The Story of My Life — Volume 05,Georg Ebers,"Ebers, Georg, 1837-1898",NA,NA,1,10870,English,2004-04-01
5553,The Story of My Life — Volume 06,Georg Ebers,"Ebers, Georg, 1837-1898",NA,NA,1,17,English,2004-04-01
5554,The Story of My Life — Complete,Georg Ebers,"Ebers, Georg, 1837-1898",NA,NA,44,93186,English,2004-11-15
5555,The Historical Romances of Georg Ebers,Georg Ebers,Historical fiction,German fiction -- Translations into English,NA,11,17,English,2004-11-15
5556,Jan of the Windmill: A Story of the Plains,Juliana Horatia Ewing,Boys -- Juvenile fiction,Country life -- England -- Juvenile fiction,NA,28,17,English,2004-05-01
5557,The Boy Scouts Patrol,Ralph Victor,Adventure stories,Teenage boys -- Juvenile fiction,Boy Scouts -- Juvenile fiction,5,31704,English,2004-05-01
5558,Seven Icelandic Short Stories,Ásgeir Pétursson and Steingrímur J. Þorsteinsson,"Short stories, Icelandic -- Translations into English",NA,NA,81,17,English,2004-05-01
5559,Getting Married,Bernard Shaw,Marriage -- Drama,Married people -- Drama,Weddings -- Drama,114,58580,English,2004-05-01
5560,The Power of Movement in Plants,Charles Darwin and Sir Francis Darwin,Botany,Plants -- Irritability and movements,Geotropism,76,37240,English,2004-05-01
5561,Guns of the Gods: A Story of Yasmini's Youth,Talbot Mundy,India -- Fiction,NA,NA,46,85595,English,2004-05-01
5562,Romanzero,Heinrich Heine,German poetry -- 19th century,NA,NA,26,17,German,2004-05-01
5563,Trial of the Witnesses of the Resurrection of Jesus,Thomas Sherlock,Jesus Christ -- Resurrection,"Woolston, Thomas, 1670-1733. Sixth discourse on the miracles of our Saviour",Deism -- Controversial literature,10,29367,English,2004-05-01
5564,"The Corporation of London, Its Rights and Privileges",William Ferneley Allen,Corporation of London (England) -- Politics and government,NA,NA,9,17871,English,2004-05-01
