,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
0,The Magna Carta,Anonymous,Magna Carta,Constitutional history -- England -- Sources,NA,131,17,English,2006-03-01
1,Apocolocyntosis,Lucius Annaeus Seneca,"Claudius, Emperor of Rome, 10 B.C.-54 A.D. -- Humor",NA,NA,207,5595,English,2003-11-01
2,The House on the Borderland,William Hope Hodgson,Science fiction,NA,NA,417,51098,English,2003-11-01
3,"My First Years as a Frenchwoman, 1876-1879",Mary King Waddington,France -- Social life and customs,"France -- History -- Third Republic, 1870-1940",NA,10,17,English,2003-11-01
4,The Warriors,Anna Robertson Brown Lindsay,Christianity,NA,NA,13,48071,English,2003-11-01
5,A Voyage to the Moon,George Tucker,Science fiction,Space flight to the moon -- Fiction,NA,26,17,English,2003-11-01
6,La Fiammetta,Giovanni Boccaccio,Fiction,NA,NA,44,13289,English,2003-11-01
7,Carmilla,Joseph Sheridan Le Fanu,Young women -- Fiction,Vampires -- Fiction,NA,3543,28112,English,2003-11-01
8,The Mystery,Samuel Hopkins Adams and Stewart Edward White,Science fiction,NA,NA,35,66208,English,2003-11-01
9,"Wild Northern Scenes; Or, Sporting Adventures with the Rifle and the Rod",Hammond,Fishing -- New York (State),Hunting -- New York (State),NA,8,86946,English,2003-11-01
10,The Eulogies of Howard: A Vision,William Hayley,"Howard, John, 1726-1790",NA,NA,9,10712,English,2003-11-01
11,365 Foreign Dishes,Unknown,Cooking,NA,NA,76,23343,English,2003-11-01
12,The Mountains of California,John Muir,Natural history -- California,California -- Description and travel,Naturalists -- United States -- Biography,75,90840,English,2003-11-01
13,"Punchinello, Volume 1, No. 09, May 28, 1870",Various,American wit and humor -- Periodicals,NA,NA,12,13173,English,2003-11-01
14,"Punchinello, Volume 1, No. 18, July 30, 1870",Various,American wit and humor -- Periodicals,NA,NA,22,14453,English,2003-11-01
15,"Punchinello, Volume 1, No. 19, August 6, 1870",Various,American wit and humor -- Periodicals,NA,NA,15,13530,English,2003-11-01
16,"Punchinello, Volume 1, No. 21, August 20, 1870",Various,American wit and humor -- Periodicals,NA,NA,17,14991,English,2003-11-01
17,"Punchinello, Volume 1, No. 23,  September 3, 1870",Various,American wit and humor -- Periodicals,NA,NA,12,13429,English,2003-11-01
18,"Punchinello, Volume 1, No. 05,  April 30, 1870",Various,American wit and humor -- Periodicals,NA,NA,10,12823,English,2003-11-01
19,"Punchinello, Volume 1, No. 22, August 27, 1870",Various,American wit and humor -- Periodicals,NA,NA,10,13619,English,2003-11-01
